ratio_edge_cases.log created successfully
============================================

BAJAJFINSV Mar 2017 | ROE Difference=9.64% | Category: Version Difference
BAJAJFINSV Mar 2018 | ROE Difference=8.67% | Category: Version Difference
BAJAJFINSV Mar 2019 | ROE Difference=10.92% | Category: Version Difference
BAJAJFINSV Mar 2020 | ROE Difference=7.43% | Category: Version Difference
BAJAJFINSV Mar 2021 | ROE Difference=8.84% | Category: Version Difference
BAJAJFINSV Mar 2022 | ROE Difference=8.94% | Category: Version Difference
BAJAJFINSV Mar 2023 | ROE Difference=14.59% | Category: Version Difference
BAJAJFINSV Mar 2023 | ROCE Difference=5.17% | Category: Formula Difference
BAJAJFINSV Mar 2024 | ROE Difference=14.13% | Category: Version Difference
BAJAJHLDNG Mar 2022 | ROE Difference=5.17% | Category: Version Difference
BAJFINANCE Mar 2015 | ROCE Difference=6.81% | Category: Formula Difference
BAJFINANCE Mar 2016 | ROCE Difference=5.32% | Category: Formula Difference
BAJFINANCE Mar 2017 | ROCE Difference=7.22% | Category: Formula Difference
BAJFINANCE Mar 2018 | ROE Difference=6.35% | Category: Version Difference
BAJFINANCE Mar 2019 | ROCE Difference=8.38% | Category: Formula Difference
BAJFINANCE Mar 2020 | ROE Difference=5.82% | Category: Version Difference
BAJFINANCE Mar 2021 | ROE Difference=10.13% | Category: Version Difference
BAJFINANCE Mar 2022 | ROE Difference=6.02% | Category: Version Difference
BAJFINANCE Mar 2023 | ROCE Difference=9.27% | Category: Formula Difference
BAJFINANCE Mar 2024 | ROCE Difference=6.94% | Category: Formula Difference
BANKBARODA Mar 2013 | ROCE Difference=8.18% | Category: Formula Difference
BANKBARODA Mar 2014 | ROCE Difference=6.98% | Category: Formula Difference
BANKBARODA Mar 2015 | ROE Difference=7.30% | Category: Version Difference
BANKBARODA Mar 2016 | ROE Difference=28.54% | Category: Version Difference
BANKBARODA Mar 2016 | ROCE Difference=18.17% | Category: Formula Difference
BANKBARODA Mar 2017 | ROE Difference=12.39% | Category: Version Difference
BANKBARODA Mar 2018 | ROE Difference=20.64% | Category: Version Difference
BANKBARODA Mar 2018 | ROCE Difference=10.27% | Category: Formula Difference
BANKBARODA Mar 2019 | ROE Difference=14.58% | Category: Version Difference
